indicador,valor,unidade,periodo_referencia,abrangencia,fonte,url_fonte,data_publicacao,observacoes
populacao_carceraria_total,663906,pessoas,2024-S1,Brasil,Relatório de Informações Penais (Relipen) - MJSP,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/deficit-de-vagas-no-sistema-carcerario-do-brasil-passa-de-174-mil,2024-10-12,Inclui apenas população em estabelecimentos prisionais
capacidade_vagas,488951,vagas,2024-S1,Brasil,Relipen - MJSP,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/deficit-de-vagas-no-sistema-carcerario-do-brasil-passa-de-174-mil,2024-10-12,
deficit_vagas,174436,vagas,2024-S1,Brasil,Relipen - MJSP,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/deficit-de-vagas-no-sistema-carcerario-do-brasil-passa-de-174-mil,2024-10-12,
taxa_ocupacao,135.7,percentual,2024-S1,Brasil,Relipen - MJSP,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/deficit-de-vagas-no-sistema-carcerario-do-brasil-passa-de-174-mil,2024-10-12,Calculada: população/capacidade
populacao_masculina,634617,pessoas,2024-S1,Brasil,Relipen - MJSP,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/deficit-de-vagas-no-sistema-carcerario-do-brasil-passa-de-174-mil,2024-10-12,
populacao_feminina,28770,pessoas,2024-S1,Brasil,Relipen - MJSP,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/deficit-de-vagas-no-sistema-carcerario-do-brasil-passa-de-174-mil,2024-10-12,
mulheres_gestantes,212,pessoas,2024-S1,Brasil,Relipen - MJSP,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/deficit-de-vagas-no-sistema-carcerario-do-brasil-passa-de-174-mil,2024-10-12,
mulheres_lactantes,117,pessoas,2024-S1,Brasil,Relipen - MJSP,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/deficit-de-vagas-no-sistema-carcerario-do-brasil-passa-de-174-mil,2024-10-12,
filhos_de_presas_nas_unidades,119,pessoas,2024-S1,Brasil,Relipen - MJSP,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/deficit-de-vagas-no-sistema-carcerario-do-brasil-passa-de-174-mil,2024-10-12,
populacao_cumprindo_pena_total,941752,pessoas,2025-S1,Brasil,SENAPPEN - Levantamento de Informações Penitenciárias,https://www.gov.br/senappen/pt-br/assuntos/noticias/senappen-divulga-levantamento-de-informacoes-penitenciarias-referente-ao-primeiro-semestre-de-2025,2025-10-14,"Metodologia mais ampla que a de 2024-S1: inclui prisão domiciliar (com/sem monitoramento eletrônico). Não comparável diretamente à série de população em cela física."
populacao_em_estabelecimentos_prisionais,705872,pessoas,2025-S1,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/assuntos/noticias/senappen-divulga-levantamento-de-informacoes-penitenciarias-referente-ao-primeiro-semestre-de-2025,2025-10-14,
populacao_prisao_domiciliar,235880,pessoas,2025-S1,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/assuntos/noticias/senappen-divulga-levantamento-de-informacoes-penitenciarias-referente-ao-primeiro-semestre-de-2025,2025-10-14,Com ou sem monitoramento eletrônico
atendimentos_saude,9300000,atendimentos,2025-S1,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/assuntos/noticias/senappen-divulga-levantamento-de-informacoes-penitenciarias-referente-ao-primeiro-semestre-de-2025,2025-10-14,Consultas médicas/psicológicas/exames; valor aproximado (>9,3 milhões)
pessoas_em_atividades_escolares,164000,pessoas,2025-S1,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/assuntos/noticias/senappen-divulga-levantamento-de-informacoes-penitenciarias-referente-ao-primeiro-semestre-de-2025,2025-10-14,Valor aproximado
pessoas_em_atividades_laborais,179000,pessoas,2025-S1,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/assuntos/noticias/senappen-divulga-levantamento-de-informacoes-penitenciarias-referente-ao-primeiro-semestre-de-2025,2025-10-14,Valor aproximado
populacao_cela_fisica_total,727301,pessoas,2025-S2,Brasil,SENAPPEN - Relatório do 2º Semestre de 2025,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,"Divergência frente a 2025-S1 (941.752) provavelmente metodológica (exclui prisão domiciliar) e/ou temporal; sinalizada aqui para transparência, não reconciliada"
populacao_masculina_2025S2,693813,pessoas,2025-S2,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,95.4% do total
populacao_feminina_2025S2,33488,pessoas,2025-S2,Brasil,SENAPPEN,https://www.gov.br/senappen/pt-br/servicos/sisdepen/relatorios/relatorios-de-informacoes-penitenciarias/relatorio-do-2o-semestre-de-2025.pdf,2025-S2,4.6% do total
